customer_id;first_name;last_name;email;phone_nr;address;age;location_id;segment_id
1;Cornie;Dollman;cdollman0@marriott.com;602-828-6279;4 Service Place;32;544;2
2;Bobine;Abba;babba1@loc.gov;675-105-5236;7596 Bluejay Plaza;48;450;1
3;Joshia;Arnald;jarnald2@bigcartel.com;772-658-4266;2463 North Way;46;261;1
4;Aldo;Figgen;afiggen3@google.pl;706-116-2770;0420 Mockingbird Place;19;397;2
5;Trina;Harvard;tharvard4@uol.com.br;402-370-6894;82 Eliot Circle;81;397;1
6;Krysta;Pessel;kpessel5@google.es;634-243-8686;839 Toban Point;70;86;2
7;Lawton;Maynell;lmaynell6@gmpg.org;216-389-1699;6965 Oneill Road;77;454;1
8;Claus;O'Loughlin;coloughlin7@ftc.gov;689-754-8263;9 Cherokee Circle;39;588;1
9;Norah;Davern;ndavern8@wikimedia.org;160-696-9285;508 Bultman Alley;31;397;1
10;Dorelia;Cherm;dcherm9@devhub.com;910-695-9472;61 Express Plaza;75;317;1
11;Delinda;Barker;dbarkera@php.net;202-240-2644;9 Summer Ridge Street;51;322;1
12;Wiley;Coldbath;wcoldbathb@studiopress.com;707-357-8250;30954 Aberg Plaza;64;246;1
13;Dougy;Corwin;dcorwinc@bing.com;487-764-6322;77654 Northview Avenue;71;570;2
14;Gail;Cowthart;gcowthartd@wordpress.com;755-668-0958;35 Stang Way;40;57;3
15;Brien;Bemwell;bbemwelle@123-reg.co.uk;202-339-4025;939 Village Green Pass;64;397;3
16;Isador;Straun;istraunf@sciencedirect.com;318-300-0538;96 East Junction;24;571;1
17;Griz;McColl;gmccollg@weather.com;922-989-6876;008 Dryden Center;46;321;3
18;Cheslie;Preist;cpreisth@census.gov;310-644-3518;0 Swallow Street;77;612;1
19;Binny;Allsop;ballsopi@howstuffworks.com;247-212-3523;08 Carberry Point;34;528;1
20;Caprice;Lawrenz;clawrenzj@whitehouse.gov;913-403-7734;8 Portage Lane;25;322;3
21;Isadore;Marmyon;imarmyonk@typepad.com;619-976-8072;40 Heath Hill;71;365;3
22;Werner;Shurmer;wshurmerl@fema.gov;510-933-3321;7 Lunder Court;81;564;1
23;Lindon;Harridge;lharridgem@state.tx.us;183-387-8387;42 Magdeline Road;29;300;3
24;Renato;Pyke;rpyken@ning.com;368-881-5699;8515 Ohio Avenue;47;210;3
25;Andie;Gierok;agieroko@shutterfly.com;245-154-6643;272 Gale Park;81;356;3
26;Leela;Arondel;larondelp@digg.com;701-548-0713;8060 Everett Parkway;49;96;3
27;Chantal;Care;ccareq@virginia.edu;789-338-8830;56532 Lunder Center;39;191;1
28;Lemar;Tille;ltiller@flickr.com;483-841-5331;2985 Banding Street;62;528;1
29;Natal;MacSorley;nmacsorleys@phoca.cz;938-356-4107;96349 Kropf Street;49;322;2
30;Maddy;Hanalan;mhanalant@angelfire.com;947-741-0185;83 Continental Hill;52;365;3
31;Roseanne;Baughan;rbaughanu@parallels.com;693-293-6229;5 Corry Circle;34;397;2
32;Boony;Kroll;bkrollv@globo.com;979-718-9713;30 Reindahl Center;27;114;1
33;Orelle;Wilcocks;owilcocksw@walmart.com;274-815-0813;2 Grayhawk Park;73;450;2
34;Kellen;Spandley;kspandleyx@amazon.de;525-730-5449;2 Sutherland Street;66;450;1
35;Liam;Dingivan;ldingivany@mayoclinic.com;721-828-0281;014 Rockefeller Court;36;516;1
36;Fanny;Dobbson;fdobbsonz@plala.or.jp;791-778-1938;54252 Towne Point;38;397;3
37;Jermaine;Dearl;jdearl10@themeforest.net;254-888-9314;686 Ludington Circle;81;416;1
38;Clemmy;Trodler;ctrodler11@time.com;687-517-8719;553 Service Plaza;59;110;1
39;Vassily;McCorkindale;vmccorkindale12@miibeian.gov.cn;950-843-1270;4 Bunker Hill Plaza;27;91;2
40;Leupold;Pindar;lpindar13@meetup.com;386-419-6274;1 Eagle Crest Alley;66;588;3
41;Ilsa;Binley;ibinley14@ocn.ne.jp;433-733-4507;9429 Mosinee Place;85;397;2
42;Dionisio;Hourigan;dhourigan15@amazon.co.uk;465-650-3625;08 Waxwing Trail;55;438;2
43;Torre;Denyagin;tdenyagin16@wikia.com;777-942-6996;34591 6th Plaza;82;89;1
44;Robby;Reubbens;rreubbens17@epa.gov;425-682-0824;00 Old Shore Plaza;77;251;1
45;Alanson;ffrench Beytagh;affrenchbeytagh18@who.int;903-175-0796;60760 Pankratz Junction;22;246;3
46;Cull;Arndell;carndell19@cnbc.com;197-523-6437;6 Dapin Hill;83;397;2
47;Constantine;Norvell;cnorvell1a@alexa.com;172-410-8384;09139 Mcbride Pass;44;26;1
48;Jehu;Hopkynson;jhopkynson1b@hexun.com;172-483-7711;866 Brickson Park Point;76;397;2
49;Hendrick;Bexon;hbexon1c@a8.net;541-899-9595;0050 Nova Trail;48;544;3
50;Augy;McIlhatton;amcilhatton1d@ca.gov;891-777-2536;819 Monterey Place;61;397;2
51;Dorie;Bickford;dbickford1e@paypal.com;951-979-3468;6863 Corben Plaza;34;450;1
52;Filide;Chiverton;fchiverton1f@tinyurl.com;574-122-8197;19 Ilene Road;20;559;1
53;Charmaine;Swannack;cswannack1g@spotify.com;539-612-6779;8 Texas Street;49;516;1
54;Marget;Careswell;mcareswell1h@tripod.com;622-446-1483;427 Banding Junction;77;322;1
55;Carlyn;Lozano;clozano1i@nymag.com;520-741-4062;5 Parkside Street;48;597;1
56;Tatiana;Diggar;tdiggar1j@unc.edu;911-268-4390;3 Doe Crossing Point;23;6;2
57;Oliy;Lugton;olugton1k@intel.com;498-639-1921;7 Golf View Circle;58;450;3
58;Hyacinth;Dearnaley;hdearnaley1l@ucoz.ru;348-516-5043;426 Barby Way;49;104;1
59;Anastassia;Veness;aveness1m@businessinsider.com;187-654-2303;142 Harbort Lane;76;328;3
60;Krisha;Martinuzzi;kmartinuzzi1n@redcross.org;934-459-1953;2 Kennedy Way;60;588;1
61;Staford;MacCoveney;smaccoveney1o@devhub.com;407-675-9811;494 Knutson Circle;36;434;3
62;Eimile;Lowey;elowey1p@sbwire.com;337-882-6612;764 Moose Pass;28;29;1
